2022-11-07,,Longwood,W,75,54,27,69,.391,3,28,.107,18,26,.692,19,62,10,6,9,19,18,,19,71,.268,5,13,.385,11,19,.579,12,35,8,8,3,9,22
2022-11-11,,Liberty,W,95,59,27,52,.519,10,22,.455,31,38,.816,11,42,14,8,6,15,23,,18,55,.327,8,29,.276,15,20,.750,3,17,13,6,1,13,25
2022-11-15,@,South Alabama,W,65,55,22,68,.324,10,35,.286,11,20,.550,24,58,11,4,9,20,18,,21,71,.296,2,23,.087,11,18,.611,13,36,4,7,5,9,16
2022-11-18,,Jacksonville State,W,104,62,34,66,.515,21,46,.457,15,21,.714,17,45,23,6,5,13,20,,19,54,.352,9,24,.375,15,21,.714,7,22,9,6,0,13,21
2022-11-24,N,Michigan State,W,81,70,28,63,.444,8,23,.348,17,24,.708,11,40,19,6,5,10,20,,24,62,.387,4,14,.286,18,25,.720,10,36,9,5,5,11,22
2022-11-25,N,UConn,L,67,82,21,50,.420,6,16,.375,19,25,.760,7,32,10,4,6,19,23,,26,60,.433,9,24,.375,21,24,.875,8,30,18,8,7,11,23
2022-11-27,N,UNC,W (4 OT),103,101,37,90,.411,16,38,.421,13,21,.619,14,49,21,6,6,21,22,,38,91,.418,7,23,.304,18,20,.900,13,49,15,12,10,18,23
2022-12-03,,South Dakota State,W,78,65,27,68,.397,13,40,.325,11,15,.733,14,43,20,5,5,10,14,,26,61,.426,6,20,.300,7,11,.636,5,33,9,6,3,11,16
2022-12-10,@,Houston,W,71,65,22,54,.407,7,23,.304,20,32,.625,10,40,9,6,3,15,20,,25,64,.391,3,13,.231,12,22,.545,12,37,7,7,8,10,24
2022-12-13,,Memphis,W,91,88,26,54,.481,10,27,.370,29,40,.725,10,39,17,4,7,19,19,,34,79,.430,1,12,.083,19,25,.760,13,34,10,13,2,10,28
2022-12-17,N,Gonzaga,L,90,100,31,60,.517,8,25,.320,20,24,.833,8,35,11,3,3,21,19,,40,70,.571,7,17,.412,13,19,.684,4,26,16,12,1,9,24
