,School,,Opponent,G,Date, ,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,School,,Opponent,G,Date, ,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,21,22,23,24,25,26,27,28,29,30,31,32,33,34

2018-11-09,,Arkansas State,W,94,73,31,55,.564,8,14,.571,24,31,.774,11,38,17,8,0,18,27,,26,59,.441,6,17,.353,15,24,.625,9,26,13,6,2,16,23
2018-11-15,@,Denver,W,67,61,22,49,.449,10,24,.417,13,16,.813,5,26,16,5,5,9,15,,25,51,.490,9,15,.600,2,11,.182,9,31,11,1,4,15,18
2018-11-22,N,Elon,W,72,56,29,56,.518,11,18,.611,3,6,.500,8,27,19,4,1,6,21,,18,40,.450,7,20,.350,13,19,.684,5,24,15,3,2,11,15
2018-11-23,@,Pacific,W,73,71,28,56,.500,5,15,.333,12,18,.667,6,27,11,4,2,9,28,,20,46,.435,3,13,.231,28,37,.757,8,29,5,6,3,9,19
2018-11-24,N,UC-Riverside,W,60,48,22,53,.415,4,10,.400,12,19,.632,14,32,11,6,1,6,15,,18,46,.391,3,14,.214,9,15,.600,9,29,6,2,2,15,21
2018-11-27,,Howard Payne,W,90,53,37,61,.607,6,20,.300,10,18,.556,10,28,21,19,3,16,15,,19,42,.452,6,14,.429,9,16,.563,4,20,10,8,1,28,13
2018-12-01,@,Pepperdine,L,62,77,25,62,.403,4,18,.222,8,13,.615,8,29,13,9,1,11,24,,22,46,.478,8,18,.444,25,30,.833,5,33,16,6,2,15,16
2018-12-04,,Campbell,W,83,68,27,48,.563,7,14,.500,22,26,.846,3,18,11,14,0,10,23,,22,45,.489,3,14,.214,21,28,.750,9,30,6,4,2,22,19
2018-12-08,,Schreiner,W,93,53,32,55,.582,11,21,.524,18,24,.750,10,32,22,10,4,17,20,,19,52,.365,5,19,.263,10,14,.714,10,21,5,6,1,20,23
2018-12-15,@,Texas Tech,L,48,82,15,53,.283,5,21,.238,13,22,.591,8,25,9,4,3,7,25,,30,54,.556,7,22,.318,15,21,.714,5,37,17,6,2,10,21
2018-12-21,@,Southeast Missouri State,W,70,68,23,50,.460,4,15,.267,20,28,.714,5,28,12,9,5,14,16,,24,49,.490,11,24,.458,9,13,.692,1,26,14,4,3,23,27
2018-12-29,,McMurry,W,88,40,35,74,.473,8,25,.320,10,16,.625,22,53,22,14,3,14,9,,15,55,.273,5,23,.217,5,6,.833,7,25,4,10,3,22,16
2019-01-02,,New Orleans,W,68,58,24,53,.453,8,17,.471,12,16,.750,9,32,12,11,4,17,20,,21,51,.412,0,8,.000,16,27,.593,9,27,9,8,1,19,20
2019-01-05,@,Sam Houston State,L,68,71,22,50,.440,10,14,.714,14,16,.875,9,27,14,11,2,18,17,,27,49,.551,8,16,.500,9,13,.692,6,23,14,10,5,18,14
2019-01-09,@,McNeese State,W,73,72,26,52,.500,10,22,.455,11,19,.579,6,29,22,3,2,7,16,,25,53,.472,8,15,.533,14,19,.737,5,29,20,5,4,6,15
2019-01-12,@,Southeastern Louisiana,W,75,72,27,56,.482,6,13,.462,15,20,.750,8,25,10,7,3,8,26,,19,50,.380,3,8,.375,31,33,.939,10,33,7,3,5,13,17
2019-01-16,,Houston Baptist,W,75,68,28,58,.483,6,20,.300,13,21,.619,10,27,18,10,2,12,18,,25,50,.500,6,14,.429,12,17,.706,8,29,14,6,1,20,18
2019-01-19,,Northwestern State,W,78,69,28,61,.459,8,20,.400,14,20,.700,9,37,18,3,5,11,18,,23,58,.397,6,24,.250,17,23,.739,10,34,12,10,4,11,17
2019-01-23,@,Stephen F. Austin,L,60,61,23,52,.442,6,17,.353,8,10,.800,9,30,12,11,4,24,15,,23,54,.426,7,19,.368,8,11,.727,8,29,10,12,1,21,14


2019-01-26,,Central Arkansas,W,79,56,28,60,.467,6,20,.300,17,24,.708,10,35,18,10,6,12,21,,15,50,.300,4,20,.200,22,30,.733,8,31,7,7,3,20,16
2019-01-30,,Texas A&M-Corpus Christi,W,78,71,25,59,.424,12,24,.500,16,21,.762,14,32,17,12,3,14,22,,25,46,.543,2,10,.200,19,24,.792,5,28,9,8,4,19,18
2019-02-06,@,Lamar,W,75,64,25,59,.424,5,15,.333,20,26,.769,9,33,14,7,3,10,25,,20,61,.328,3,17,.176,21,29,.724,17,44,9,2,4,15,22
2019-02-09,,Sam Houston State,L (2 OT),85,90,32,58,.552,7,18,.389,14,20,.700,4,24,11,6,1,20,23,,31,59,.525,6,22,.273,22,25,.880,8,30,11,10,3,19,22
2019-02-13,@,Nicholls State,W,64,48,24,60,.400,4,19,.211,12,14,.857,6,37,15,7,3,7,12,,16,54,.296,5,22,.227,11,13,.846,4,30,7,4,3,10,14
2019-02-16,@,Incarnate Word,W,68,48,26,52,.500,7,23,.304,9,12,.750,7,25,16,9,3,12,18,,17,41,.415,4,13,.308,10,12,.833,2,20,8,4,3,19,18
2019-02-23,,Southeastern Louisiana,L,66,75,21,54,.389,8,24,.333,16,21,.762,9,22,13,7,4,9,21,,25,54,.463,8,21,.381,17,23,.739,15,40,15,7,1,14,18
2019-02-27,@,Texas A&M-Corpus Christi,W,73,64,22,54,.407,8,25,.320,21,31,.677,10,31,15,11,0,7,16,,26,56,.464,6,19,.316,6,14,.429,11,34,13,3,3,15,20
2019-03-02,@,Central Arkansas,W,67,55,27,60,.450,10,24,.417,3,3,1.000,4,32,18,8,0,9,13,,23,59,.390,7,19,.368,2,7,.286,10,35,16,4,7,13,8
2019-03-05,,Stephen F. Austin,W,72,58,24,55,.436,8,26,.308,16,23,.696,9,36,18,5,5,8,14,,22,57,.386,6,18,.333,8,11,.727,7,29,6,3,3,10,22
2019-03-09,,Incarnate Word,W,81,52,29,59,.492,12,26,.462,11,15,.733,10,33,19,9,1,7,11,,20,46,.435,9,21,.429,3,4,.750,2,20,9,6,2,17,13
2019-03-15,N,Southeastern Louisiana,W,69,66,20,51,.392,7,20,.350,22,28,.786,9,31,11,9,3,13,22,,23,47,.489,5,17,.294,15,21,.714,6,31,10,6,4,17,22
2019-03-16,N,New Orleans,W,77,60,32,57,.561,4,12,.333,9,14,.643,6,29,15,13,2,12,13,,21,52,.404,6,16,.375,12,16,.750,6,24,13,5,3,19,15
2019-03-21,N,Kentucky,L,44,79,17,53,.321,5,23,.217,5,10,.500,3,17,9,9,3,9,16,,30,56,.536,4,14,.286,15,19,.789,14,44,10,5,1,12,18
